Linux 5.15.0-1054-kvm (large-instance-spare) 	04/17/24 	_x86_64_	(24 CPU)

17:55:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:58:15     all   25.06    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   74.85
17:58:16     all   25.08    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   74.83
17:58:17     all   24.51    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   75.37
17:58:18     all   17.92    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   81.99
17:58:19     all   18.51    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   81.36
17:58:20     all   20.26    0.00    0.04    0.00    0.00    0.04    0.00    0.00    0.00   79.66
17:58:21     all   20.46    0.00    0.04    0.00    0.00    0.00    0.00    0.00    0.00   79.50
17:58:22     all   20.42    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   79.50
17:58:23     all   20.62    0.00    0.04    0.00    0.00    0.00    0.00    0.00    0.00   79.33
17:58:24     all   20.42    0.00    0.04    0.00    0.00    0.00    0.00    0.00    0.00   79.54
17:58:25     all   20.34    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   79.53
17:58:26     all   20.41    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   79.51
17:58:27     all   20.15    0.00    0.04    0.00    0.00    0.00    0.00    0.00    0.00   79.81
17:58:28     all   19.83    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   80.04
17:58:29     all   20.09    0.00    0.04    0.00    0.00    0.00    0.00    0.00    0.00   79.87
17:58:30     all   19.94    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   79.97
17:58:31     all   20.36    0.00    0.04    0.00    0.00    0.00    0.00    0.00    0.00   79.60
17:58:32     all   20.14    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   79.77
17:58:33     all   20.38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   79.62
17:58:34     all   20.57    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   79.43
17:58:35     all   20.28    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   79.55
17:58:36     all   19.97    0.00    0.04    0.00    0.00    0.00    0.00    0.00    0.00   79.99
17:58:37     all   19.12    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   80.71
17:58:38     all   24.25    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   75.58
17:58:39     all   24.67    0.00    0.04    0.00    0.00    0.00    0.00    0.00    0.00   75.29
17:58:40     all   24.64    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   75.20
17:58:41     all   24.38    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   75.49
17:58:42     all   20.35    0.00    1.41    0.00    0.00    0.00    0.00    0.00    0.00   78.24
17:58:43     all    0.33    0.00   10.40    0.00    0.00    0.04    0.00    0.00    0.00   89.22
17:58:44     all    0.12    0.00    9.85    0.00    0.00    0.00    0.00    0.00    0.00   90.02
17:58:45     all    0.00    0.00    9.59    0.00    0.00    0.04    0.00    0.00    0.00   90.37
17:58:46     all    0.08    0.00    9.30    0.00    0.00    0.00    0.21    0.00    0.00   90.41
17:58:47     all    0.04    0.00    9.28    0.00    0.00    0.00    0.25    0.00    0.00   90.42
17:58:48     all    0.16    0.00   10.18    0.00    0.00    0.00    1.07    0.00    0.00   88.59
