NUM_THREADS=16
BATCH_SIZE=32768
num_threads_sort=16
num_threads_io=4
memory_size=16 GB
FILESIZE=64 GB
FILENAME=data-64GB.bin
bytes_free=230743769088
ratio=4
memory_size_byte=17179869184
FILESIZE_byte=68719476736
-------------------------
found good configuration:
memory_size_byte=17179869184
FILESIZE_byte=68719476736
WRITE_SIZE=134217728
FLUSH_SIZE=4
BUCKET_SIZE=33554432
NUM_BUCKETS=128
PREFIX_SIZE=7
EXPECTED_TOTAL_FLUSHES=512
sort_memory=8589934592
NUM_ENTRIES=4294967296
Total Memory: 23462842368 bytes
Free Memory: 22641659904 bytes
MEMORY_MAX=17179869184
RECORD_SIZE=16
HASH_SIZE=10
NONCE_SIZE=6
num_threads_hash=16
num_threads_sort=16
num_threads_io=4
storing vault configuration in data-64GB.bin.config
hash generation and sorting...
initializing circular array...
Create thread data structure...
Create hash generation threads...
Hash generation threads created...
[130][HASHGEN]: 31.76% completed, ETA 280.3 seconds, 128/512 flushes, 299.4 MB/sec
[131][HASHGEN]: 32.46% completed, ETA 273.5 seconds, 128/512 flushes, 456.2 MB/sec
[132][HASHGEN]: 33.00% completed, ETA 268.9 seconds, 128/512 flushes, 357.7 MB/sec
[133][HASHGEN]: 33.30% completed, ETA 267.3 seconds, 128/512 flushes, 196.0 MB/sec
[134][HASHGEN]: 33.82% completed, ETA 263.0 seconds, 128/512 flushes, 341.1 MB/sec
[135][HASHGEN]: 34.45% completed, ETA 257.7 seconds, 128/512 flushes, 412.2 MB/sec
[136][HASHGEN]: 35.23% completed, ETA 250.8 seconds, 128/512 flushes, 510.9 MB/sec
[137][HASHGEN]: 35.87% completed, ETA 245.8 seconds, 128/512 flushes, 413.8 MB/sec
[138][HASHGEN]: 36.43% completed, ETA 241.6 seconds, 128/512 flushes, 371.4 MB/sec
[139][HASHGEN]: 36.88% completed, ETA 238.7 seconds, 128/512 flushes, 293.4 MB/sec
[140][HASHGEN]: 37.34% completed, ETA 235.7 seconds, 128/512 flushes, 298.3 MB/sec
[141][HASHGEN]: 37.79% completed, ETA 232.8 seconds, 128/512 flushes, 300.3 MB/sec
[142][HASHGEN]: 38.26% completed, ETA 229.9 seconds, 128/512 flushes, 305.2 MB/sec
[143][HASHGEN]: 38.71% completed, ETA 227.1 seconds, 128/512 flushes, 293.1 MB/sec
[144][HASHGEN]: 39.16% completed, ETA 224.4 seconds, 128/512 flushes, 297.1 MB/sec
[145][HASHGEN]: 39.60% completed, ETA 221.9 seconds, 128/512 flushes, 285.4 MB/sec
[146][HASHGEN]: 40.04% completed, ETA 219.4 seconds, 128/512 flushes, 286.2 MB/sec
